Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 17:14:00.000 GMT+0100,06.01.2020 17:14:00,06.01.2020,17:14:00,290.598,290.598,290.547,290.547,0.255
06.01.2020 17:15:00.000 GMT+0100,06.01.2020 17:15:00,06.01.2020,17:15:00,290.548,290.548,290.198,290.198,2.235
06.01.2020 17:16:00.000 GMT+0100,06.01.2020 17:16:00,06.01.2020,17:16:00,290.148,290.287,290.147,290.227,1.7505
06.01.2020 17:17:00.000 GMT+0100,06.01.2020 17:17:00,06.01.2020,17:17:00,290.247,290.298,290.047,290.048,0.464
06.01.2020 17:18:00.000 GMT+0100,06.01.2020 17:18:00,06.01.2020,17:18:00,290.047,290.047,289.977,290.027,1.3545
06.01.2020 17:19:00.000 GMT+0100,06.01.2020 17:19:00,06.01.2020,17:19:00,290.047,290.047,289.877,289.898,0.5745
06.01.2020 17:20:00.000 GMT+0100,06.01.2020 17:20:00,06.01.2020,17:20:00,289.877,289.947,289.727,289.938,2.934
06.01.2020 17:21:00.000 GMT+0100,06.01.2020 17:21:00,06.01.2020,17:21:00,289.938,289.998,289.888,289.947,3.0675
06.01.2020 17:22:00.000 GMT+0100,06.01.2020 17:22:00,06.01.2020,17:22:00,289.947,289.978,289.697,289.698,1.017
06.01.2020 17:23:00.000 GMT+0100,06.01.2020 17:23:00,06.01.2020,17:23:00,289.747,289.927,289.697,289.898,1.248
06.01.2020 17:24:00.000 GMT+0100,06.01.2020 17:24:00,06.01.2020,17:24:00,289.877,289.887,289.778,289.887,1.5075
06.01.2020 17:25:00.000 GMT+0100,06.01.2020 17:25:00,06.01.2020,17:25:00,289.897,289.947,289.847,289.847,1.233
06.01.2020 17:26:00.000 GMT+0100,06.01.2020 17:26:00,06.01.2020,17:26:00,289.847,289.847,289.777,289.798,0.4845
06.01.2020 17:27:00.000 GMT+0100,06.01.2020 17:27:00,06.01.2020,17:27:00,289.827,289.848,289.747,289.777,0.7785
