Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 20:10:00.000 GMT+0100,06.01.2020 20:10:00,06.01.2020,20:10:00,13144.2,13146.2,13144.2,13146.19,0.0266
06.01.2020 20:11:00.000 GMT+0100,06.01.2020 20:11:00,06.01.2020,20:11:00,13146.36,13147.86,13145.89,13147.36,0.0221
06.01.2020 20:12:00.000 GMT+0100,06.01.2020 20:12:00,06.01.2020,20:12:00,13147.3,13152.8,13147.3,13151.7,0.0447
06.01.2020 20:13:00.000 GMT+0100,06.01.2020 20:13:00,06.01.2020,20:13:00,13151.87,13153.18,13150.15,13153,0.0375
06.01.2020 20:14:00.000 GMT+0100,06.01.2020 20:14:00,06.01.2020,20:14:00,13152.69,13152.69,13151.17,13152.16,0.0235
06.01.2020 20:15:00.000 GMT+0100,06.01.2020 20:15:00,06.01.2020,20:15:00,13151.66,13153.5,13151.66,13152.67,0.0182
06.01.2020 20:16:00.000 GMT+0100,06.01.2020 20:16:00,06.01.2020,20:16:00,13152.15,13152.8,13151.7,13152.5,0.015
06.01.2020 20:17:00.000 GMT+0100,06.01.2020 20:17:00,06.01.2020,20:17:00,13152.17,13152.69,13151.65,13152.67,0.0174
06.01.2020 20:18:00.000 GMT+0100,06.01.2020 20:18:00,06.01.2020,20:18:00,13152.87,13154.19,13152.67,13153.66,0.0221
06.01.2020 20:19:00.000 GMT+0100,06.01.2020 20:19:00,06.01.2020,20:19:00,13153.37,13153.69,13152.19,13152.19,0.0182
06.01.2020 20:20:00.000 GMT+0100,06.01.2020 20:20:00,06.01.2020,20:20:00,13152.8,13154.8,13152.8,13153.85,0.0191
06.01.2020 20:21:00.000 GMT+0100,06.01.2020 20:21:00,06.01.2020,20:21:00,13153.66,13154.19,13152.17,13152.8,0.0248
06.01.2020 20:22:00.000 GMT+0100,06.01.2020 20:22:00,06.01.2020,20:22:00,13152.4,13153.3,13152.15,13152.16,0.0313
06.01.2020 20:23:00.000 GMT+0100,06.01.2020 20:23:00,06.01.2020,20:23:00,13151.7,13152.2,13150.68,13152,0.0152
06.01.2020 20:24:00.000 GMT+0100,06.01.2020 20:24:00,06.01.2020,20:24:00,13152.19,13152.3,13150.37,13150.85,0.0223
06.01.2020 20:25:00.000 GMT+0100,06.01.2020 20:25:00,06.01.2020,20:25:00,13150.69,13150.85,13149.16,13149.9,0.0317
06.01.2020 20:26:00.000 GMT+0100,06.01.2020 20:26:00,06.01.2020,20:26:00,13150.15,13150.5,13149.66,13150.5,0.0317
06.01.2020 20:27:00.000 GMT+0100,06.01.2020 20:27:00,06.01.2020,20:27:00,13150.16,13152.65,13150.16,13152.15,0.0275
06.01.2020 20:28:00.000 GMT+0100,06.01.2020 20:28:00,06.01.2020,20:28:00,13151.86,13152.8,13149.89,13150.67,0.0286
06.01.2020 20:29:00.000 GMT+0100,06.01.2020 20:29:00,06.01.2020,20:29:00,13150.4,13151.2,13150.15,13151.2,0.0286
06.01.2020 20:30:00.000 GMT+0100,06.01.2020 20:30:00,06.01.2020,20:30:00,13151.38,13152.18,13150.2,13150.68,0.0483
06.01.2020 20:31:00.000 GMT+0100,06.01.2020 20:31:00,06.01.2020,20:31:00,13150.9,13152.15,13149.68,13149.86,0.0248
06.01.2020 20:32:00.000 GMT+0100,06.01.2020 20:32:00,06.01.2020,20:32:00,13150.18,13150.19,13149.16,13149.69,0.0189
06.01.2020 20:33:00.000 GMT+0100,06.01.2020 20:33:00,06.01.2020,20:33:00,13149.89,13149.89,13149.16,13149.38,0.0171
06.01.2020 20:34:00.000 GMT+0100,06.01.2020 20:34:00,06.01.2020,20:34:00,13149.3,13149.85,13149.15,13149.85,0.0193
06.01.2020 20:35:00.000 GMT+0100,06.01.2020 20:35:00,06.01.2020,20:35:00,13150.15,13152.2,13149.67,13151.67,0.0167
06.01.2020 20:36:00.000 GMT+0100,06.01.2020 20:36:00,06.01.2020,20:36:00,13151.17,13152.3,13151.15,13151.69,0.0214
06.01.2020 20:37:00.000 GMT+0100,06.01.2020 20:37:00,06.01.2020,20:37:00,13151.88,13152.69,13150.65,13150.68,0.0243
06.01.2020 20:38:00.000 GMT+0100,06.01.2020 20:38:00,06.01.2020,20:38:00,13150.68,13151.7,13150.15,13151.19,0.0249
06.01.2020 20:39:00.000 GMT+0100,06.01.2020 20:39:00,06.01.2020,20:39:00,13151,13151.17,13150.4,13150.7,0.0085
06.01.2020 20:40:00.000 GMT+0100,06.01.2020 20:40:00,06.01.2020,20:40:00,13150.89,13151.9,13150.89,13151.5,0.0162
06.01.2020 20:41:00.000 GMT+0100,06.01.2020 20:41:00,06.01.2020,20:41:00,13151.8,13152.3,13151.19,13151.2,0.021
06.01.2020 20:42:00.000 GMT+0100,06.01.2020 20:42:00,06.01.2020,20:42:00,13150.86,13152.3,13150.85,13151.87,0.021
06.01.2020 20:43:00.000 GMT+0100,06.01.2020 20:43:00,06.01.2020,20:43:00,13151.67,13152.7,13151.67,13152.19,0.0096
06.01.2020 20:44:00.000 GMT+0100,06.01.2020 20:44:00,06.01.2020,20:44:00,13152.37,13153.8,13152.37,13153.67,0.0194
06.01.2020 20:45:00.000 GMT+0100,06.01.2020 20:45:00,06.01.2020,20:45:00,13153.39,13154.17,13152.66,13153.39,0.0362
06.01.2020 20:46:00.000 GMT+0100,06.01.2020 20:46:00,06.01.2020,20:46:00,13153.2,13153.2,13149.88,13150.19,0.0155
06.01.2020 20:47:00.000 GMT+0100,06.01.2020 20:47:00,06.01.2020,20:47:00,13150.36,13151.68,13150.36,13150.8,0.012
06.01.2020 20:48:00.000 GMT+0100,06.01.2020 20:48:00,06.01.2020,20:48:00,13150.88,13151.3,13150.15,13150.4,0.0217
06.01.2020 20:49:00.000 GMT+0100,06.01.2020 20:49:00,06.01.2020,20:49:00,13150.18,13150.5,13149.17,13149.2,0.0198
06.01.2020 20:50:00.000 GMT+0100,06.01.2020 20:50:00,06.01.2020,20:50:00,13148.66,13149.7,13148.66,13149.36,0.0226
06.01.2020 20:51:00.000 GMT+0100,06.01.2020 20:51:00,06.01.2020,20:51:00,13149.3,13151.8,13149.3,13151.38,0.034
06.01.2020 20:52:00.000 GMT+0100,06.01.2020 20:52:00,06.01.2020,20:52:00,13151.19,13151.5,13150.15,13150.38,0.0354
06.01.2020 20:53:00.000 GMT+0100,06.01.2020 20:53:00,06.01.2020,20:53:00,13150.66,13151.2,13150.35,13150.69,0.0121
06.01.2020 20:54:00.000 GMT+0100,06.01.2020 20:54:00,06.01.2020,20:54:00,13150.9,13151.4,13150.15,13150.39,0.0203
06.01.2020 20:55:00.000 GMT+0100,06.01.2020 20:55:00,06.01.2020,20:55:00,13150.17,13151.3,13149.67,13150.8,0.02
06.01.2020 20:56:00.000 GMT+0100,06.01.2020 20:56:00,06.01.2020,20:56:00,13150.35,13151.5,13150.35,13151.37,0.021
06.01.2020 20:57:00.000 GMT+0100,06.01.2020 20:57:00,06.01.2020,20:57:00,13151.18,13152,13150.3,13150.8,0.0214
06.01.2020 20:58:00.000 GMT+0100,06.01.2020 20:58:00,06.01.2020,20:58:00,13150.5,13150.5,13149.19,13149.39,0.0173
06.01.2020 20:59:00.000 GMT+0100,06.01.2020 20:59:00,06.01.2020,20:59:00,13149.8,13149.8,13147.68,13148.8,0.0236
06.01.2020 21:00:00.000 GMT+0100,06.01.2020 21:00:00,06.01.2020,21:00:00,13148.86,13152.3,13148.86,13151.7,0.0281
06.01.2020 21:01:00.000 GMT+0100,06.01.2020 21:01:00,06.01.2020,21:01:00,13151.85,13151.9,13151.15,13151.37,0.019
06.01.2020 21:02:00.000 GMT+0100,06.01.2020 21:02:00,06.01.2020,21:02:00,13151.3,13151.5,13150.19,13150.36,0.0232
06.01.2020 21:03:00.000 GMT+0100,06.01.2020 21:03:00,06.01.2020,21:03:00,13150.18,13151.69,13150.18,13151.36,0.0146
